,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
20,bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,233.9,4561943082,21,4897622665.0,190394828.0,244.17,231.74,-3.7196361037219106,-1.5654,-75090332.35700417,-1.61936,19560674.8966508,21000000.0,21000000.0,3785.82,-93.8393,2017-12-20T00:00:00.000Z,76.93,203.15655,2018-12-16T00:00:00.000Z,2023-11-16T23:30:51.863Z
21,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1696512319,5.17,3892496843,22,5164060727.0,196615774.0,5.55,5.12,-0.1953143748840631,-3.64313,-141653380.84133673,-3.51136,753766667.0,1000000000.0,1000000000.0,44.92,-88.50227,2021-05-03T05:25:04.822Z,1.03,401.33012,2020-09-17T01:20:38.214Z,2023-11-16T23:30:59.483Z
22,leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,4.03,3733088861,23,3961142394.0,1287865.0,4.06,4.0,-0.0329809819920488,-0.81258,-24479533.210381985,-0.65147,928516637.9,985239504.0,,8.14,-50.54036,2022-02-08T17:40:10.285Z,0.799859,403.0525,2019-12-24T15:14:35.376Z,2023-11-16T23:30:48.097Z
23,okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,56.84,3409825644,24,13409576106.0,33989478.0,61.09,55.74,-4.1885113257635,-6.86312,-184786098.4959998,-5.14064,60000000.0,235957685.3,300000000.0,64.92,-12.54891,2023-11-14T16:15:10.918Z,0.580608,9678.51921,2019-01-14T00:00:00.000Z,2023-11-16T23:30:51.136Z
24,true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1696504140,0.999556,3312734675,25,3312734675.0,268536661.0,1.005,0.991331,-0.001303685974187618,-0.13026,-3823315.4197621346,-0.11528,3318365258.34,3318365258.34,,1.62,-38.34888,2018-08-26T20:41:09.375Z,0.88355,12.93435,2020-03-12T10:47:51.380Z,2023-11-16T23:30:56.102Z
25,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.11796,3295667106,26,5887727725.0,112962839.0,0.123106,0.116963,-0.003548846983344317,-2.92066,-98690288.39106846,-2.90748,27988598104.4386,50001787115.2451,50001787115.2451,0.875563,-86.54207,2018-01-03T00:00:00.000Z,0.00047612,24648.33976,2015-03-05T00:00:00.000Z,2023-11-16T23:30:53.287Z
26,monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,160.54,2913192909,27,,106164627.0,162.83,157.65,0.222664,0.13889,2607758.0,0.0896,18147820.3764146,,,542.33,-70.4109,2018-01-09T00:00:00.000Z,0.216177,74130.60039,2015-01-14T00:00:00.000Z,2023-11-16T23:30:49.151Z
27,cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,9.56,2812045271,28,,325357853.0,10.14,9.51,-0.15010467048297826,-1.54613,-22691237.9349041,-0.80047,292586163.827428,,,44.45,-78.35074,2022-01-17T00:34:41.497Z,1.16,729.49823,2020-03-13T02:27:44.591Z,2023-11-16T23:30:55.749Z
28,ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,19.23,2749456371,29,4045404204.0,235192012.0,20.54,18.98,-0.550398269046152,-2.7827,-76997561.55413246,-2.72418,143202119.751449,210700000.0,210700000.0,167.09,-88.50755,2021-05-06T18:34:22.133Z,0.615038,3022.11713,2016-07-25T00:00:00.000Z,2023-11-16T23:30:51.700Z
29,kaspa,kas,Kaspa,https://assets.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.121156,2597863939,30,2597828200.0,232496493.0,0.144875,0.112087,0.00646607,5.63786,138047245.0,5.61209,21552828173.9086,21552531669.8931,28704026601.0,0.144875,-16.68942,2023-11-16T13:42:05.343Z,0.00017105,70462.19896,2022-05-26T14:42:59.316Z,2023-11-16T23:30:54.448Z
30,crypto-com-chain,cro,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.096548,2550493115,31,2900903508.0,26048303.0,0.104823,0.095105,-0.006459159900674721,-6.27061,-152576508.6241784,-5.64456,26376193915.6798,30000000000.0,,0.965407,-90.01432,2021-11-24T15:53:54.855Z,0.0121196,695.4262,2019-02-08T00:00:00.000Z,2023-11-16T23:30:39.090Z
