,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
60,the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1696511971,0.418266,879029278,61,1258733961.0,110558753,0.45152,0.413651,-0.019260875194461458,-4.40222,-40800176.49894154,-4.43562,2095031926.2233226,3000000000.0,3000000000.0,8.4,-94.99982,2021-11-25T06:04:40.957Z,0.02897764,1348.89215,2020-11-04T15:59:14.441Z,2023-11-16T21:00:37.775Z
61,celestia,tia,Celestia,https://assets.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,6.04,855622383,62,6066371119.0,265350468,6.3,5.55,0.0098777,0.16392,3179897.0,0.37303,141043527.75,1000000000.0,,6.4,-5.35141,2023-11-15T15:49:59.271Z,2.08,190.62873,2023-10-31T15:14:31.951Z,2023-11-16T21:00:34.695Z
62,axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1696512817,6.26,832695542,63,1697378410.0,82930747,6.59,6.14,-0.11974067198224692,-1.87575,-18099058.03587389,-2.12731,132455906.71201333,270000000.0,270000000.0,164.9,-96.18615,2021-11-06T19:29:29.482Z,0.123718,4983.29293,2020-11-06T08:05:43.662Z,2023-11-16T21:00:28.518Z
63,neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1696501735,11.45,807738860,64,1145241543.0,64105858,12.15,11.22,-0.5513250967109187,-4.59227,-38538087.98187363,-4.55384,70530000.0,100000000.0,,198.38,-94.21237,2018-01-15T00:00:00.000Z,0.078349,14554.3335,2016-10-21T00:00:00.000Z,2023-11-16T21:00:29.969Z
64,decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1696502010,0.431632,797222113,65,946646611.0,111223610,0.460073,0.424639,-0.01620537348296236,-3.61858,-32618352.63160789,-3.93068,1846994471.5697756,2193179327.32015,2193179327.32015,5.85,-92.60651,2021-11-25T10:04:18.534Z,0.00923681,4583.21948,2017-10-31T00:00:00.000Z,2023-11-16T21:00:30.917Z
65,eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1696501893,0.701688,791586119,66,,165545483,0.749691,0.689256,-0.0273263410183765,-3.7484,-30103377.04600525,-3.6636,1128106384.4285,,,22.71,-96.90295,2018-04-29T07:50:33.540Z,0.5024,40.00385,2017-10-23T00:00:00.000Z,2023-11-16T21:00:32.333Z
66,whitebit,wbt,WhiteBIT Coin,https://assets.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,5.41,779869920,67,1972292456.0,5254584,5.48,5.36,-0.012143573630428508,-0.22399,-2110652.645017028,-0.26991,144118517.10815412,364475994.0,400000000.0,14.64,-63.02829,2022-10-28T12:32:18.119Z,3.06,76.84086,2023-02-13T19:01:21.899Z,2023-11-16T21:00:11.746Z
67,kava,kava,Kava,https://assets.coingecko.com/coins/images/9761/large/kava.png?1696509822,0.800796,753567827,68,753584064.0,26012064,0.826275,0.781826,-0.022689615094809157,-2.75531,-17007223.666094184,-2.20708,937665775.0,937685978.0,,9.12,-91.18683,2021-08-30T11:10:02.948Z,0.287137,179.92979,2020-03-13T02:24:16.835Z,2023-11-16T21:00:30.041Z
68,tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1696502091,0.84365,751761214,69,827776737.0,38867854,0.901055,0.830584,-0.0318025197651749,-3.6327,-31153032.167129993,-3.97911,891059815.093676,981160735.742049,,9.12,-90.73465,2021-10-04T00:41:18.025Z,0.350476,140.99669,2018-12-07T00:00:00.000Z,2023-11-16T21:00:37.226Z
69,xdce-crowd-sale,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.052258,725224032,70,1979420787.0,24391152,0.054014,0.052374,-0.000918149903316658,-1.72661,-8718242.563376665,-1.18786,13877708580.0,37877708979.6,,0.192754,-72.73998,2021-08-21T04:39:48.324Z,0.00039532,13191.78126,2019-07-22T00:00:00.000Z,2023-11-16T21:00:34.376Z
70,usdd,usdd,USDD,https://assets.coingecko.com/coins/images/25380/large/UUSD.jpg?1696524513,0.99696,723209862,71,,47518206,1.0,0.99157,-0.000193745460497663,-0.01943,-8810.731723666191,-0.00122,725332025.849769,,,1.052,-5.16327,2023-10-23T22:45:25.398Z,0.928067,7.48263,2022-06-19T16:15:11.558Z,2023-11-16T21:00:31.511Z
71,bitget-token,bgb,Bitget Token,https://assets.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,0.510412,713758535,72,1019654321.0,25909251,0.55885,0.502663,-0.02242716377598708,-4.20899,-31755035.596496224,-4.25948,1400001000.0,2000000000.0,2000000000.0,0.583922,-12.68543,2023-11-13T23:30:28.560Z,0.0142795,3470.49272,2020-06-25T04:17:05.895Z,2023-11-16T20:59:22.249Z
72,rollbit-coin,rlb,Rollbit Coin,https://assets.coingecko.com/coins/images/24552/large/unziL6wO_400x400.jpg?1696523729,0.210348,692394966,73,692394966.0,11500323,0.244705,0.20197,-0.029216603825060666,-12.19571,-90453382.88711476,-11.55439,3296951621.59,3296951622.0,5000000000.0,0.264358,-20.34233,2023-11-11T17:10:05.473Z,0.00093506,22420.63097,2022-07-02T02:46:34.730Z,2023-11-16T21:00:20.867Z
73,first-digital-usd,fdusd,First Digital USD,https://assets.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,1.0,681466349,74,681466349.0,227151042,1.007,0.994614,-0.003047384083605831,-0.30372,-1353162.1782876253,-0.19817,681288134.77,681288134.77,,1.041,-3.54676,2023-10-23T22:55:15.103Z,0.942129,6.61074,2023-08-17T21:55:41.478Z,2023-11-16T21:00:23.604Z
